threshold,retained_anchors,filtered_anchors,retained_anchor_ratio,affected_cases,empty_anchor_cases,total_anchor_cases,empty_anchor_case_ratio
0.4,283,0,1.0,0,0,228,0.0
0.45,283,0,1.0,0,0,228,0.0
0.5,283,0,1.0,0,0,228,0.0
0.55,283,0,1.0,0,0,228,0.0
0.6,283,0,1.0,0,0,228,0.0
0.65,283,0,1.0,0,0,228,0.0
0.7,283,0,1.0,0,0,228,0.0
0.75,282,1,0.9964664310954063,1,1,228,0.0043859649122807015
0.8,278,5,0.9823321554770318,5,4,228,0.017543859649122806
0.85,270,13,0.9540636042402827,12,10,228,0.043859649122807015
0.9,231,52,0.8162544169611308,50,34,228,0.14912280701754385
